athleteID,athleteName,athleteSex,athleteEventSport
45925," Crown Prince Harald"," M",Sailing
45925," Crown Prince Harald"," M",Sailing
45926," Erla Dgg Haraldsdttir"," F",Swimming
45926," Erla Dgg Haraldsdttir"," F",Swimming
45927," Olaf Harry Haraldsen (Fykerud-)"," M",Speed Skating
45927," Olaf Harry Haraldsen (Fykerud-)"," M",Speed Skating
45927," Olaf Harry Haraldsen (Fykerud-)"," M",Cycling
45928," Katrine Lunde Haraldsen"," F",Handball
45928," Katrine Lunde Haraldsen"," F",Handball
45929," Marit Haraldsen (-Foss)"," F",Alpine Skiing
45929," Marit Haraldsen (-Foss)"," F",Alpine Skiing
45929," Marit Haraldsen (-Foss)"," F",Alpine Skiing
45930," Clas Oskar Haraldsson"," M",Cross Country Skiing
45930," Clas Oskar Haraldsson"," M",Nordic Combined
45931," Hrur Haraldsson"," M",Athletics
45931," Hrur Haraldsson"," M",Athletics
45931," Hrur Haraldsson"," M",Athletics
45932," Jhann Fririk Haraldsson"," M",Alpine Skiing
45932," Jhann Fririk Haraldsson"," M",Alpine Skiing
45933," Kurt Harand"," M",Ice Hockey
45933," Kurt Harand"," M",Ice Hockey
45934," Paul Albert Flix Haranger"," M",Hockey
45935," Csaba Haranghy"," M",Sailing
45936," Imre Harangi"," M",Boxing
45937," Andrs Harangvlgyi (Helmle)"," M",Cross Country Skiing
45938," Louis Joseph Harant"," M",Shooting
45938," Louis Joseph Harant"," M",Shooting
45939," Zaki Selim Ibrahim Harari"," M",Basketball
45940," Hisayoshi Harasawa"," M",Judo
45941," Lajos Haraszthy"," M",Rowing
45942," Micha Haratyk"," M",Athletics
45943," Bla Hray"," M",Hockey
45943," Bla Hray"," M",Ice Hockey
45944," Elias Harb"," M",Shooting
45945," Tanios Harb"," M",Shooting
45946," Simon James Harbaugh"," M",Golf
45947," ""Victoria """"Vicki"""" Harber (-Stenerson)"""," F",Rowing
45948," Charles William Harbidge"," M",Football
45949," ""Rudolf Waldemar """"Rudi"""" Harbig"""," M",Athletics
45949," ""Rudolf Waldemar """"Rudi"""" Harbig"""," M",Athletics
45950," ""Robert E. """"Rob"""" Harbison"""," M",Shooting
45950," ""Robert E. """"Rob"""" Harbison"""," M",Shooting
45951," Alexandra Harbold (Bernhart-)"," F",Canoeing
45951," Alexandra Harbold (Bernhart-)"," F",Canoeing
45952," Michael Everett Harbold"," M",Canoeing
45952," Michael Everett Harbold"," M",Canoeing
45952," Michael Everett Harbold"," M",Canoeing
45953," Kevin Alan Harbut"," M",Freestyle Skiing
45954," Abbes Harchi"," M",Fencing
45954," Abbes Harchi"," M",Fencing
45954," Abbes Harchi"," M",Fencing
45955," Kenneth Graham Harcourt"," M",Gymnastics
45955," Kenneth Graham Harcourt"," M",Gymnastics
45955," Kenneth Graham Harcourt"," M",Gymnastics
45955," Kenneth Graham Harcourt"," M",Gymnastics
45955," Kenneth Graham Harcourt"," M",Gymnastics
45955," Kenneth Graham Harcourt"," M",Gymnastics
45955," Kenneth Graham Harcourt"," M",Gymnastics
45955," Kenneth Graham Harcourt"," M",Gymnastics
45956," Harold Turner Harcourt"," M",Rowing
45957," Zoltn dm Harcsa"," M",Boxing
45957," Zoltn dm Harcsa"," M",Boxing
45958," Zsolt Harczi"," M",Table Tennis
45959," Jere Johannes Hrd"," M",Swimming
45959," Jere Johannes Hrd"," M",Swimming
45959," Jere Johannes Hrd"," M",Swimming
45959," Jere Johannes Hrd"," M",Swimming
45959," Jere Johannes Hrd"," M",Swimming
45959," Jere Johannes Hrd"," M",Swimming
45960," Sven Olof Gran Hrd af Segerstad"," M",Handball
45961," Sarah Louise Hardaker"," F",Badminton
45962," Hannah Hardaway"," F",Freestyle Skiing
45963," ""Anfernee Deon """"Penny"""" Hardaway"""," M",Basketball
45964," ""Timothy Duane """"Tim"""" Hardaway"""," M",Basketball
45965," Peter Hardcastle"," M",Rowing
45965," Peter Hardcastle"," M",Rowing
45965," Peter Hardcastle"," M",Rowing
45966," Sarah Lucy Hardcastle (-Thomas)"," F",Swimming
45966," Sarah Lucy Hardcastle (-Thomas)"," F",Swimming
45966," Sarah Lucy Hardcastle (-Thomas)"," F",Swimming
45966," Sarah Lucy Hardcastle (-Thomas)"," F",Swimming
45966," Sarah Lucy Hardcastle (-Thomas)"," F",Swimming
45966," Sarah Lucy Hardcastle (-Thomas)"," F",Swimming
45967," ""James Edward """"Trey"""" Hardee","  III""",Athletics
45967," ""James Edward """"Trey"""" Hardee","  III""",Athletics
45968," Christina Hardekopf"," F",Diving
45969," Karel Jan Hardeman"," M",Rowing
45970," ""James Edward Harden","  Jr.""",Basketball
45971," Martin G. Harden"," M",Fencing
45971," Martin G. Harden"," M",Fencing
45972," ""Timothy M. """"Tim"""" Harden"""," M",Athletics
45973," Arne Hardenberg"," M",Alpine Skiing
45973," Arne Hardenberg"," M",Alpine Skiing
45974," Adolf Harder"," M",Modern Pentathlon
45974," Adolf Harder"," M",Modern Pentathlon
45975," Pernille Harder"," F",Badminton
45976," Bonar Graeme Hardie"," M",Sailing
45977," Hamish Graeme Hardie"," M",Sailing
45978," Kelly Hardie"," F",Softball
45978," Kelly Hardie"," F",Softball
